list_no,notice_no,title,dept,publish_date,publish_period,views,notAncmtMgtNo,detail_url,detail_url_http,publish_date_iso,list_page,pos_hits,neg_hits,score,strong_neg,blacklist_hit,is_keyword_candidate,pipeline_status,reject_reason,category
5842,수원시 권선구 공고 제2026-709호,주정차위반 과태료 최초고지서 반송에 따른 공시송달 공고,경제교통과,2026-08-31,2026-08-31 ~ 2026-09-15,33,156183,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156183,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156183,2026-08-31,8,,"공시송달,과태료",-2,"공시송달,과태료",공시송달,False,rejected,"strong_neg:공시송달,과태료",
5841,수원시 영통구 매탄4동 공고 제2026-56호,거주불명자 행정상 관리주소 이전 직권조치 결과 공고,매탄4동,2026-08-31,2026-08-31 ~ 2026-09-14,21,156182,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156182,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156182,2026-08-31,8,,,0,,결과 공고,False,rejected,blacklist:결과 공고,
5840,수원시 팔달구 고등동 공고 제2026-58호,신규 주민등록증 발급통지서 미수령자에 대한 공고(2009년 8월생),고등동,2026-08-31,2026-08-31 ~ 2026-09-15,12,156181,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156181,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156181,2026-08-31,8,,,0,,,False,rejected,not_keyword_candidate,
5839,수원시 권선구 권선1동 공고 제2026-86호,2026년 민방위 집합교육(보충1차) 통지서 반송에 따른 공시송달 공고,권선1동,2026-08-31,2026-08-31 ~ 2026-09-14,6,156178,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156178,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156178,2026-08-31,8,교육,공시송달,0,공시송달,공시송달,False,rejected,strong_neg:공시송달,
5838,수원시 팔달구 우만1동 공고 제2026-57호,주민등록 무단전출자에 대한 직권조치 결과 공고,우만1동,2026-08-31,2026-08-31 ~ 2026-09-14,11,156176,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156176,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156176,2026-08-31,8,,,0,,결과 공고,False,rejected,blacklist:결과 공고,
5837,수원시 권선구 공고 제2026-707호,이륜자동차 정기검사 신청기간 경과 알림 및 명령서 반송분 공시송달 공고,경제교통과,2026-08-31,2026-08-31 ~ 2026-09-15,40,156173,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156173,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156173,2026-08-31,8,신청,공시송달,0,공시송달,공시송달,False,rejected,strong_neg:공시송달,
5836,수원시 공고 제2026-1981호,2027년 기업환경 개선사업 대상자 모집 공고,경제자유구역추진단,2026-08-31,2026-09-01 ~ 2026-09-18,136,156172,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156172,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156172,2026-08-31,8,"모집,대상자",,2,,,True,candidate,,support_apply
5835,수원시 팔달구 인계동 공고 제2026-96호,행정상 관리주소이전 직권조치결과 공고,인계동,2026-08-31,2026-08-31 ~ 2026-09-21,24,156166,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156166,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156166,2026-08-31,8,,,0,,결과 공고,False,rejected,blacklist:결과 공고,
5834,수원시 장안구 공고 제2026-418호,건축법 위반건축물 공시송달 공고(사전 안내),건축과,2026-08-31,2026-08-31 ~ 2026-09-15,34,156165,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156165,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156165,2026-08-31,8,,공시송달,-1,공시송달,공시송달,False,rejected,strong_neg:공시송달,
5833,수원시 팔달구 매산동 공고 제2026-69호,2026년 4분기 매산동 주민자치센터 프로그램 수강생 모집 공고,매산동,2026-08-31,2026-08-31 ~ 2026-09-18,28,156161,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156161,http://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156161,2026-08-31,9,"모집,프로그램,수강",,3,,,True,candidate,,course_local
