id,title,category,applicationEnd,applicationEndSource,status,has_hwp,sourceUrl,organization,sourcePublishedAt,pipeline_notes
suwon-ofr-156190,2026년 4분기 정자1동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156190,정자1동,2026-09-01,
suwon-ofr-156180,2026년 4분기 조원2동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156180,조원2동,2026-09-01,
suwon-ofr-156175,2026년 4분기 조원1동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156175,조원1동,2026-09-01,
suwon-ofr-156159,2026년 4분기 지동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156159,지동,2026-09-01,
suwon-ofr-156158,2026년 4분기 고등동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156158,고등동,2026-09-01,
suwon-ofr-156172,2027년 기업환경 개선사업 대상자 모집 공고,support_apply,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156172,경제자유구역추진단,2026-08-31,
suwon-ofr-156161,2026년 4분기 매산동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156161,매산동,2026-08-31,
suwon-ofr-156153,2026년 4분기 정자3동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156153,정자3동,2026-08-28,
suwon-ofr-156142,2026년 4분기 영통1동 주민자치센터 프로그램 수강생 모집 공고(수정),course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156142,영통1동,2026-08-28,
suwon-ofr-156137,2026년 4분기 광교2동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156137,광교2동,2026-08-28,
suwon-ofr-156127,2026년 4분기 망포2동 주민자치센터 프로그램 수강생 모집,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156127,망포2동,2026-08-28,
suwon-ofr-156124,2026년도 페달 오조작 방지장치 설치 지원사업 지원자 모집 공고,support_apply,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156124,교통정책과,2026-08-28,
suwon-ofr-156123,연무동 주민자치센터 특성화 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156123,연무동,2026-08-28,
suwon-ofr-156110,2026년 4분기 정자3동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156110,정자3동,2026-08-28,
suwon-ofr-156082,2026년 4분기 우만1동 주민자치센터 프로그램 수강생 모집,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156082,우만1동,2026-08-28,
suwon-ofr-156085,2026년 4분기 영통2동 문화센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156085,영통2동,2026-08-27,
suwon-ofr-156077,2026년 영통1동 주민자치센터 특성화 프로그램 「시니어 바레」수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156077,영통1동,2026-08-27,
suwon-ofr-156070,2026년 4분기 영통1동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156070,영통1동,2026-08-27,
suwon-ofr-156058,2026년 권선2동 평생학습센터 「디지털 생활문해교실」수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156058,권선2동,2026-08-26,
suwon-ofr-156057,2026년 4분기 권선2동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=156057,권선2동,2026-08-26,
suwon-ofr-155943,2026년 4분기 구운동 주민자치센터 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=155943,구운동,2026-08-25,
suwon-ofr-155924,2026년 고등동 주민자치센터 특성화 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=155924,고등동,2026-08-25,
suwon-ofr-155835,2026년 4분기 율천동 밤밭문화센터 프로그램 수강생 모집,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=155835,율천동,2026-08-24,
suwon-ofr-155776,2026년 권선1동 주민자치센터 특성화 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=155776,권선1동,2026-08-18,
suwon-ofr-155614,2026년 수원시 하반기  중소기업 고용창출 보조금 지원사업 공고,support_apply,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=155614,노동일자리정책과,2026-08-11,
suwon-ofr-155602,영화동 주민자치센터 특성화 프로그램 수강생 모집 안내,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=155602,영화동,2026-08-11,
suwon-ofr-155387,2026년 고등동 평생학습센터 「디지털 문해교실」프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=155387,고등동,2026-08-06,
suwon-ofr-155059,2026년 IoT(사물인터넷) 설치 지원사업 2차 수정 공고,support_apply,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=155059,환경정책과,2026-07-22,
suwon-ofr-154305,2026년 고등동 주민자치센터 관학연계 프로그램 수강생 모집 공고,course_local,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=154305,고등동,2026-07-02,
suwon-ofr-154173,2026년 석면해체・제거 지원사업 대상자 모집 재공고,support_apply,,,pending_review,,https://www.suwon.go.kr/web/saeallOfr/BD_ofrView.do?notAncmtMgtNo=154173,환경정책과,2026-06-29,
